Dataset,Dimension,Annotator Pair,Spearman Correlation,Spearman P-value,Fisher CI Lower,Fisher CI Upper,Weighted Cohen's Kappa
RPG,advice_giving,"('expert1', 'expert2')",0.79,0.000,0.66,0.88,0.70
RPG,demonstrating_understanding,"('expert1', 'expert2')",0.58,0.000,0.36,0.74,0.47
RPG,dismissing_emotions,"('expert1', 'expert2')",0.48,0.000,0.24,0.67,0.35
Empathetic Dialogues,empathy,"('expert1', 'expert2')",0.63,0.000,0.42,0.77,0.51
RPG,encouraging_elaboration,"('expert1', 'expert2')",0.76,0.000,0.62,0.86,0.69
Empathetic Dialogues,fluency,"('expert1', 'expert2')",0.25,0.082,-0.03,0.49,0.28
EPITOME,level_emotional_reactions,"('expert1', 'expert2')",0.41,0.003,0.15,0.62,0.35
EPITOME,level_explorations,"('expert1', 'expert2')",0.82,0.000,0.71,0.90,0.76
EPITOME,level_interpretations,"('expert1', 'expert2')",0.41,0.003,0.15,0.62,0.26
Perceived Empathy,m_accepted,"('expert1', 'expert2')",0.47,0.001,0.22,0.66,0.43
Perceived Empathy,m_affirmed,"('expert1', 'expert2')",0.53,0.000,0.29,0.70,0.49
Perceived Empathy,m_caredfor,"('expert1', 'expert2')",0.55,0.000,0.33,0.72,0.55
Perceived Empathy,m_emotional,"('expert1', 'expert2')",0.73,0.000,0.57,0.84,0.74
Perceived Empathy,m_motivation,"('expert1', 'expert2')",0.77,0.000,0.62,0.86,0.66
Perceived Empathy,m_practical,"('expert1', 'expert2')",0.77,0.000,0.62,0.86,0.77
Perceived Empathy,m_seen,"('expert1', 'expert2')",0.54,0.000,0.31,0.71,0.55
Perceived Empathy,m_understood,"('expert1', 'expert2')",0.62,0.000,0.42,0.77,0.60
Perceived Empathy,m_validated,"('expert1', 'expert2')",0.59,0.000,0.38,0.75,0.59
Empathetic Dialogues,relevance,"('expert1', 'expert2')",0.23,0.109,-0.05,0.48,0.44
RPG,self_oriented,"('expert1', 'expert2')",0.85,0.000,0.75,0.91,0.82
RPG,validating_emotions,"('expert1', 'expert2')",0.48,0.000,0.23,0.67,0.25
RPG,advice_giving,"('experts', 'crowd')",nan,nan,nan,nan,nan
RPG,demonstrating_understanding,"('experts', 'crowd')",nan,nan,nan,nan,nan
RPG,dismissing_emotions,"('experts', 'crowd')",nan,nan,nan,nan,nan
Empathetic Dialogues,empathy,"('experts', 'crowd')",nan,nan,nan,nan,nan
RPG,encouraging_elaboration,"('experts', 'crowd')",nan,nan,nan,nan,nan
Empathetic Dialogues,fluency,"('experts', 'crowd')",nan,nan,nan,nan,nan
EPITOME,level_emotional_reactions,"('experts', 'crowd')",nan,nan,nan,nan,nan
EPITOME,level_explorations,"('experts', 'crowd')",nan,nan,nan,nan,nan
EPITOME,level_interpretations,"('experts', 'crowd')",nan,nan,nan,nan,nan
Perceived Empathy,m_accepted,"('experts', 'crowd')",nan,nan,nan,nan,nan
Perceived Empathy,m_affirmed,"('experts', 'crowd')",nan,nan,nan,nan,nan
Perceived Empathy,m_caredfor,"('experts', 'crowd')",nan,nan,nan,nan,nan
Perceived Empathy,m_emotional,"('experts', 'crowd')",nan,nan,nan,nan,nan
Perceived Empathy,m_motivation,"('experts', 'crowd')",nan,nan,nan,nan,nan
Perceived Empathy,m_practical,"('experts', 'crowd')",nan,nan,nan,nan,nan
Perceived Empathy,m_seen,"('experts', 'crowd')",nan,nan,nan,nan,nan
Perceived Empathy,m_understood,"('experts', 'crowd')",nan,nan,nan,nan,nan
Perceived Empathy,m_validated,"('experts', 'crowd')",nan,nan,nan,nan,nan
Empathetic Dialogues,relevance,"('experts', 'crowd')",nan,nan,nan,nan,nan
RPG,self_oriented,"('experts', 'crowd')",nan,nan,nan,nan,nan
RPG,validating_emotions,"('experts', 'crowd')",nan,nan,nan,nan,nan
RPG,advice_giving,"('experts', 'gemini')",nan,nan,nan,nan,nan
RPG,demonstrating_understanding,"('experts', 'gemini')",nan,nan,nan,nan,nan
RPG,dismissing_emotions,"('experts', 'gemini')",nan,nan,nan,nan,nan
Empathetic Dialogues,empathy,"('experts', 'gemini')",nan,nan,nan,nan,nan
RPG,encouraging_elaboration,"('experts', 'gemini')",nan,nan,nan,nan,nan
Empathetic Dialogues,fluency,"('experts', 'gemini')",nan,nan,nan,nan,nan
EPITOME,level_emotional_reactions,"('experts', 'gemini')",nan,nan,nan,nan,nan
EPITOME,level_explorations,"('experts', 'gemini')",nan,nan,nan,nan,nan
EPITOME,level_interpretations,"('experts', 'gemini')",nan,nan,nan,nan,nan
Perceived Empathy,m_accepted,"('experts', 'gemini')",nan,nan,nan,nan,nan
Perceived Empathy,m_affirmed,"('experts', 'gemini')",nan,nan,nan,nan,nan
Perceived Empathy,m_caredfor,"('experts', 'gemini')",nan,nan,nan,nan,nan
Perceived Empathy,m_emotional,"('experts', 'gemini')",nan,nan,nan,nan,nan
Perceived Empathy,m_motivation,"('experts', 'gemini')",nan,nan,nan,nan,nan
Perceived Empathy,m_practical,"('experts', 'gemini')",nan,nan,nan,nan,nan
Perceived Empathy,m_seen,"('experts', 'gemini')",nan,nan,nan,nan,nan
Perceived Empathy,m_understood,"('experts', 'gemini')",nan,nan,nan,nan,nan
Perceived Empathy,m_validated,"('experts', 'gemini')",nan,nan,nan,nan,nan
Empathetic Dialogues,relevance,"('experts', 'gemini')",nan,nan,nan,nan,nan
RPG,self_oriented,"('experts', 'gemini')",nan,nan,nan,nan,nan
RPG,validating_emotions,"('experts', 'gemini')",nan,nan,nan,nan,nan
RPG,advice_giving,"('experts', 'llm')",nan,nan,nan,nan,nan
RPG,demonstrating_understanding,"('experts', 'llm')",nan,nan,nan,nan,nan
RPG,dismissing_emotions,"('experts', 'llm')",nan,nan,nan,nan,nan
Empathetic Dialogues,empathy,"('experts', 'llm')",nan,nan,nan,nan,nan
RPG,encouraging_elaboration,"('experts', 'llm')",nan,nan,nan,nan,nan
Empathetic Dialogues,fluency,"('experts', 'llm')",nan,nan,nan,nan,nan
EPITOME,level_emotional_reactions,"('experts', 'llm')",nan,nan,nan,nan,nan
EPITOME,level_explorations,"('experts', 'llm')",nan,nan,nan,nan,nan
EPITOME,level_interpretations,"('experts', 'llm')",nan,nan,nan,nan,nan
Perceived Empathy,m_accepted,"('experts', 'llm')",nan,nan,nan,nan,nan
Perceived Empathy,m_affirmed,"('experts', 'llm')",nan,nan,nan,nan,nan
Perceived Empathy,m_caredfor,"('experts', 'llm')",nan,nan,nan,nan,nan
Perceived Empathy,m_emotional,"('experts', 'llm')",nan,nan,nan,nan,nan
Perceived Empathy,m_motivation,"('experts', 'llm')",nan,nan,nan,nan,nan
Perceived Empathy,m_practical,"('experts', 'llm')",nan,nan,nan,nan,nan
Perceived Empathy,m_seen,"('experts', 'llm')",nan,nan,nan,nan,nan
Perceived Empathy,m_understood,"('experts', 'llm')",nan,nan,nan,nan,nan
Perceived Empathy,m_validated,"('experts', 'llm')",nan,nan,nan,nan,nan
Empathetic Dialogues,relevance,"('experts', 'llm')",nan,nan,nan,nan,nan
RPG,self_oriented,"('experts', 'llm')",nan,nan,nan,nan,nan
RPG,validating_emotions,"('experts', 'llm')",nan,nan,nan,nan,nan
RPG,advice_giving,"('gemini', 'crowd')",0.38,0.006,0.12,0.60,0.32
RPG,demonstrating_understanding,"('gemini', 'crowd')",0.49,0.000,0.25,0.68,0.18
RPG,dismissing_emotions,"('gemini', 'crowd')",0.23,0.106,-0.05,0.48,0.27
Empathetic Dialogues,empathy,"('gemini', 'crowd')",0.02,0.898,-0.26,0.30,0.01
RPG,encouraging_elaboration,"('gemini', 'crowd')",0.72,0.000,0.55,0.83,0.61
Empathetic Dialogues,fluency,"('gemini', 'crowd')",0.12,0.414,-0.17,0.38,0.06
EPITOME,level_emotional_reactions,"('gemini', 'crowd')",0.41,0.003,0.15,0.62,0.29
EPITOME,level_explorations,"('gemini', 'crowd')",0.21,0.143,-0.07,0.46,0.10
EPITOME,level_interpretations,"('gemini', 'crowd')",0.41,0.004,0.14,0.61,0.34
Perceived Empathy,m_accepted,"('gemini', 'crowd')",0.45,0.001,0.20,0.65,0.53
Perceived Empathy,m_affirmed,"('gemini', 'crowd')",0.34,0.015,0.07,0.57,0.39
Perceived Empathy,m_caredfor,"('gemini', 'crowd')",0.34,0.017,0.06,0.56,0.37
Perceived Empathy,m_emotional,"('gemini', 'crowd')",0.52,0.000,0.28,0.70,0.57
Perceived Empathy,m_motivation,"('gemini', 'crowd')",0.46,0.001,0.21,0.65,0.42
Perceived Empathy,m_practical,"('gemini', 'crowd')",0.53,0.000,0.30,0.71,0.42
Perceived Empathy,m_seen,"('gemini', 'crowd')",0.35,0.013,0.08,0.57,0.46
