conv_id,empathy,relevance,fluency
hit:401_conv:803,3,4,3
hit:478_conv:956,4,3,3
hit:887_conv:1775,3,4,4
hit:965_conv:1930,4,4,4
hit:3379_conv:6758,3,4,4
hit:3636_conv:7272,4,4,4
hit:7112_conv:14224,3,2,2
hit:8681_conv:17362,2,2,4
hit:11447_conv:22894,2,2,3
hit:12057_conv:24115,2,2,4
hit:529_conv:1059,2,3,4
hit:1670_conv:3341,2,4,4
hit:2088_conv:4177,4,4,4
hit:3735_conv:7470,2,2,2
hit:4103_conv:8207,4,4,4
hit:7797_conv:15594,1,1,4
hit:8986_conv:17972,4,5,5
hit:9116_conv:18233,2,2,1
hit:9349_conv:18698,3,4,4
hit:9988_conv:19976,2,4,2
hit:1490_conv:2981,3,4,4
hit:1502_conv:3005,2,4,4
hit:2097_conv:4194,3,4,4
hit:3104_conv:6209,2,2,4
hit:3931_conv:7863,2,2,2
hit:3961_conv:7922,3,4,4
hit:4090_conv:8181,2,2,4
hit:4233_conv:8466,2,4,4
hit:4345_conv:8691,4,4,4
hit:4722_conv:9445,2,4,4
hit:4844_conv:9689,2,4,4
hit:5323_conv:10646,2,2,2
hit:5574_conv:11149,4,4,4
hit:5579_conv:11158,4,2,4
hit:6053_conv:12106,2,2,4
hit:6367_conv:12734,2,4,4
hit:6613_conv:13226,2,2,4
hit:6759_conv:13519,4,4,4
hit:8012_conv:16024,4,4,4
hit:8290_conv:16581,4,4,4
hit:8311_conv:16622,5,4,4
hit:9338_conv:18676,2,2,3
hit:9772_conv:19545,3,4,4
hit:10145_conv:20290,3,4,4
hit:10264_conv:20529,3,4,4
hit:11090_conv:22181,4,4,4
hit:11786_conv:23572,2,2,2
hit:11794_conv:23589,1,1,1
hit:12267_conv:24535,2,2,1
hit:12276_conv:24553,4,4,4
