sp_id,rp_id,level_emotional_reactions,level_explorations,level_interpretations
97keuy,e48xfwa,1,0,1
5ziak3,deyb83s,1,1,1
6l2ex7,djr0aur,1,1,1
47jmki,d0djxlk,2,1,1
99yrsp,e4req4x,0,0,1
7bae7a,dphh2hi,1,1,1
7faqco,dqasc1x,0,0,0
8fzl06,dy7mpoe,0,0,1
5udu49,ddtar8i,1,1,1
79ws1b,dp5j55v,0,0,1
41g07l,cz26vua,1,1,1
8ix424,dywk9hy,1,2,1
78chdu,doss7uo,0,0,0
6jy2ha,djhwgs6,1,1,1
7f5fsf,dq9m34m,0,0,0
6d8bpd,di0nlb2,1,0,0
982bo3,e4d9lz8,1,1,1
6m2aki,djzoxjg,0,0,1
9vo55d,e9eqspg,0,0,0
88gtly,dwki84l,0,0,1
5oc1v6,dcia967,1,1,1
92z9nn,e3a2xof,0,0,0
88x2l7,dwnvlat,1,1,1
ajccfi,eeujjeh,1,0,1
5pklsj,dcs78f7,0,0,0
78539v,dor647q,2,1,1
4re82s,d50d07m,2,1,2
9y3cea,eb4ngh9,0,0,0
9u1441,e90or0r,1,1,1
a2bynd,eawx6f6,1,1,1
7yo4vo,duhyac3,1,1,1
aivw81,eer413s,0,0,1
9v6l4y,e9a6rlo,1,2,1
46rnxz,d07n05c,1,1,1
9t0b89,e8txotz,1,1,1
64vfny,dg5dua3,0,1,1
7rmqzi,dsy41wd,1,1,1
96kkj0,e4173mc,1,1,1
857ps1,dvve0kf,1,1,1
8w0orm,e1ruepi,1,1,1
43dc0h,czhnmqd,1,1,1
4kz2qw,d3j6efd,0,0,1
6ay35x,dhiscyo,0,0,0
7ce4za,dpp7tc5,1,1,1
71c0m3,dn9pkff,1,1,1
73cm60,dnpb3ft,0,0,0
88x9zy,dwpez20,1,1,1
7xxfqn,duby1kh,1,1,1
5o2dfv,dcg770i,1,2,1
68qep0,dh0heoe,2,1,1
