Dataset,Dimension,Annotator Pair,Spearman Correlation,Spearman P-value
RPG,advice_giving,"('expert1', 'expert2')",0.79,0.000
RPG,demonstrating_understanding,"('expert1', 'expert2')",0.58,0.000
RPG,dismissing_emotions,"('expert1', 'expert2')",0.48,0.000
Empathetic Dialogues,empathy,"('expert1', 'expert2')",0.63,0.000
RPG,encouraging_elaboration,"('expert1', 'expert2')",0.76,0.000
Empathetic Dialogues,fluency,"('expert1', 'expert2')",0.25,0.082
EPITOME,level_emotional_reactions,"('expert1', 'expert2')",0.41,0.003
EPITOME,level_explorations,"('expert1', 'expert2')",0.82,0.000
EPITOME,level_interpretations,"('expert1', 'expert2')",0.41,0.003
Perceived Empathy,m_accepted,"('expert1', 'expert2')",0.47,0.001
Perceived Empathy,m_affirmed,"('expert1', 'expert2')",0.53,0.000
Perceived Empathy,m_caredfor,"('expert1', 'expert2')",0.55,0.000
Perceived Empathy,m_emotional,"('expert1', 'expert2')",0.73,0.000
Perceived Empathy,m_motivation,"('expert1', 'expert2')",0.77,0.000
Perceived Empathy,m_practical,"('expert1', 'expert2')",0.77,0.000
Perceived Empathy,m_seen,"('expert1', 'expert2')",0.54,0.000
Perceived Empathy,m_understood,"('expert1', 'expert2')",0.62,0.000
Perceived Empathy,m_validated,"('expert1', 'expert2')",0.59,0.000
Empathetic Dialogues,relevance,"('expert1', 'expert2')",0.23,0.109
RPG,self_oriented,"('expert1', 'expert2')",0.85,0.000
RPG,validating_emotions,"('expert1', 'expert2')",0.48,0.000
RPG,advice_giving,"('experts', 'crowd')",0.44,0.002
RPG,demonstrating_understanding,"('experts', 'crowd')",0.48,0.000
RPG,dismissing_emotions,"('experts', 'crowd')",0.23,0.115
Empathetic Dialogues,empathy,"('experts', 'crowd')",0.36,0.010
RPG,encouraging_elaboration,"('experts', 'crowd')",0.69,0.000
Empathetic Dialogues,fluency,"('experts', 'crowd')",0.29,0.039
EPITOME,level_emotional_reactions,"('experts', 'crowd')",0.67,0.000
EPITOME,level_explorations,"('experts', 'crowd')",0.64,0.000
EPITOME,level_interpretations,"('experts', 'crowd')",0.50,0.000
Perceived Empathy,m_accepted,"('experts', 'crowd')",0.43,0.002
Perceived Empathy,m_affirmed,"('experts', 'crowd')",0.35,0.013
Perceived Empathy,m_caredfor,"('experts', 'crowd')",0.36,0.011
Perceived Empathy,m_emotional,"('experts', 'crowd')",0.55,0.000
Perceived Empathy,m_motivation,"('experts', 'crowd')",0.36,0.009
Perceived Empathy,m_practical,"('experts', 'crowd')",0.41,0.003
Perceived Empathy,m_seen,"('experts', 'crowd')",0.16,0.258
Perceived Empathy,m_understood,"('experts', 'crowd')",0.27,0.061
Perceived Empathy,m_validated,"('experts', 'crowd')",0.36,0.010
Empathetic Dialogues,relevance,"('experts', 'crowd')",0.30,0.037
RPG,self_oriented,"('experts', 'crowd')",0.50,0.000
RPG,validating_emotions,"('experts', 'crowd')",0.51,0.000
RPG,advice_giving,"('experts', 'llm')",0.74,0.000
RPG,demonstrating_understanding,"('experts', 'llm')",0.50,0.000
RPG,dismissing_emotions,"('experts', 'llm')",0.47,0.001
Empathetic Dialogues,empathy,"('experts', 'llm')",0.51,0.000
RPG,encouraging_elaboration,"('experts', 'llm')",0.77,0.000
Empathetic Dialogues,fluency,"('experts', 'llm')",-0.10,0.479
EPITOME,level_emotional_reactions,"('experts', 'llm')",0.66,0.000
EPITOME,level_explorations,"('experts', 'llm')",0.42,0.002
EPITOME,level_interpretations,"('experts', 'llm')",0.32,0.024
Perceived Empathy,m_accepted,"('experts', 'llm')",0.48,0.000
Perceived Empathy,m_affirmed,"('experts', 'llm')",0.52,0.000
Perceived Empathy,m_caredfor,"('experts', 'llm')",0.42,0.002
Perceived Empathy,m_emotional,"('experts', 'llm')",0.57,0.000
Perceived Empathy,m_motivation,"('experts', 'llm')",0.57,0.000
Perceived Empathy,m_practical,"('experts', 'llm')",0.67,0.000
