,Dataset,Dimension,Experts 1 & 2 Spearman Rank Correlation,Experts 1 & 3 Spearman Rank Correlation,Experts 2 & 3 Spearman Rank Correlation,Experts & Crowd Spearman Rank Correlation,Crowd & LLM Spearman Rank Correlation,Gemini 2.5 Pro Spearman Rank Correlation,GPT 4o Spearman Rank Correlation,Claude Spearman Rank Correlation,Experts 1 & 2 Weighted Cohen's Kappa,Experts 1 & 3 Weighted Cohen's Kappa,Experts 2 & 3 Weighted Cohen's Kappa,Experts & Crowd Weighted Cohen's Kappa,Crowd & LLM Weighted Cohen's Kappa,Gemini 2.5 Pro Weighted Cohen's Kappa,GPT 4o Weighted Cohen's Kappa,Claude Weighted Cohen's Kappa
0,RPG Fewshot,validating_emotions,0.48,0.57,0.59,0.54,0.58,0.74,0.68,0.7,0.25,0.39,0.58,0.28,0.46,0.55,0.52,0.68
1,RPG Fewshot,encouraging_elaboration,0.76,0.74,0.74,0.69,0.61,0.87,0.74,0.83,0.69,0.62,0.73,0.44,0.54,0.8,0.7,0.79
2,RPG Fewshot,demonstrating_understanding,0.58,0.28,0.46,0.44,0.59,0.57,0.5,0.4,0.47,0.37,0.43,0.18,0.24,0.57,0.39,0.43
3,RPG Fewshot,advice_giving,0.79,0.61,0.76,0.31,0.48,0.85,0.78,0.71,0.7,0.54,0.69,0.23,0.33,0.47,0.51,0.29
4,RPG Fewshot,self_oriented,0.85,0.59,0.53,0.51,0.43,0.89,0.88,0.91,0.82,0.7,0.52,0.24,0.4,0.53,0.52,0.5
5,RPG Fewshot,dismissing_emotions,0.48,0.45,0.41,0.14,0.17,0.54,0.45,0.42,0.35,0.49,0.51,0.2,0.09,0.12,0.11,0.14
0,RPG CoT,validating_emotions,0.48,0.57,0.59,0.54,0.56,0.74,0.79,0.74,0.25,0.39,0.58,0.28,0.49,0.44,0.31,0.52
1,RPG CoT,encouraging_elaboration,0.76,0.74,0.74,0.69,0.68,0.82,0.69,0.89,0.69,0.62,0.73,0.44,0.68,0.64,0.49,0.67
2,RPG CoT,demonstrating_understanding,0.58,0.28,0.46,0.44,0.5,0.79,0.32,0.59,0.47,0.37,0.43,0.18,0.32,0.61,0.13,0.42
3,RPG CoT,advice_giving,0.79,0.61,0.76,0.31,0.45,0.83,0.61,0.71,0.7,0.54,0.69,0.23,0.36,0.48,0.27,0.23
4,RPG CoT,self_oriented,0.85,0.59,0.53,0.51,0.43,0.86,0.77,0.74,0.82,0.7,0.52,0.24,0.37,0.5,0.3,0.4
5,RPG CoT,dismissing_emotions,0.48,0.45,0.41,0.14,0.23,0.63,0.16,0.53,0.35,0.49,0.51,0.2,0.1,0.11,0.05,0.06
0,Empathetic Dialogues,empathy,0.63,0.59,0.55,0.29,-0.01,0.69,0.63,0.66,0.51,0.53,0.62,0.12,0.0,0.45,0.29,0.29
1,Empathetic Dialogues,relevance,0.23,0.46,0.37,0.27,0.22,0.32,0.45,0.43,0.44,0.49,0.58,0.39,0.22,0.45,0.3,0.47
2,Empathetic Dialogues,fluency,0.25,0.44,0.03,0.23,0.24,0.4,0.28,0.28,0.28,0.41,0.11,0.29,0.35,0.44,0.15,0.21
0,Empathetic Dialogues CoT,empathy,0.63,0.59,0.55,0.29,0.02,0.69,0.53,0.61,0.51,0.53,0.62,0.12,0.02,0.55,0.43,0.35
1,Empathetic Dialogues CoT,relevance,0.23,0.46,0.37,0.27,0.13,0.28,0.29,0.44,0.44,0.49,0.58,0.39,0.24,0.48,0.22,0.53
2,Empathetic Dialogues CoT,fluency,0.25,0.44,0.03,0.23,0.31,0.48,0.39,0.52,0.28,0.41,0.11,0.29,0.44,0.48,0.2,0.45
0,EPITOME Fewshot,level_emotional_reactions,0.41,0.6,0.67,0.69,0.62,0.69,0.78,0.84,0.35,0.53,0.56,0.56,0.63,0.46,0.67,0.74
1,EPITOME Fewshot,level_explorations,0.82,0.66,0.81,0.59,0.43,0.62,0.71,0.66,0.76,0.74,0.84,0.33,0.31,0.8,0.88,0.77
2,EPITOME Fewshot,level_interpretations,0.41,0.44,0.64,0.48,0.38,0.73,0.36,0.52,0.26,0.29,0.62,0.27,0.31,0.55,0.26,0.52
0,EPITOME CoT,level_emotional_reactions,0.41,0.6,0.67,0.69,0.74,0.76,0.77,0.76,0.35,0.53,0.56,0.56,0.69,0.47,0.5,0.58
1,EPITOME CoT,level_explorations,0.82,0.66,0.81,0.59,0.67,0.85,0.6,0.69,0.76,0.74,0.84,0.33,0.44,0.89,0.64,0.73
2,EPITOME CoT,level_interpretations,0.41,0.44,0.64,0.48,0.4,0.78,0.74,0.77,0.26,0.29,0.62,0.27,0.37,0.45,0.44,0.64
